BR1_R1#show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
FastEthernet0/0            200.200.200.2   YES manual up                    up
FastEthernet0/1            172.16.100.1    YES manual up                    up
Serial0/0/0                172.16.252.2    YES manual up                    up
Serial0/0/1                unassigned      YES unset  administratively down down
Serial1/0                  unassigned      YES unset  administratively down down
Serial1/1                  unassigned      YES unset  administratively down down
Serial1/2                  unassigned      YES unset  administratively down down
Serial1/3                  unassigned      YES unset  administratively down down
Tunnel0                    172.16.255.2    YES manual up                    up
